ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.99,RandomForestClassifier_LSA_100,0.5,0.4974874371859296,0.5,0.5,1.835,0.7
0.48,FeedForwardClassifier_LSA_100,0.5076767676767677,0.3312820537951428,0.5,0.51,0.633,0.5
0.99,SVM_TFidf_100,0.5048484848484849,0.50705205530296,0.62,0.5,22.392,0.25
0.98,LSTM_100,0.5959595959595959,0.5959595959595959,0.6,0.6,303.23400000000004,0.0005355040775611997
0.07,FeedForwardClassifier_TFidf_100,0.5008080808080807,0.06791827648624121,0.5,0.5,65.093,0.25
0.99,Logistic_Regression_LSA_100,0.5,0.4974874371859296,0.5,0.5,0.21,0.1
0.83,Word2Vector_ALL,0.7986463342335814,0.4586851036659135,0.5,0.8,7.641,0.4
0.01,Logistic_Regression_TFidf_100,0.5,0.0099009900990099,0.0,0.5,18.268,0.001
0.97,RandomForestClassifier_TFidf_100,0.5076767676767677,0.5028437338424213,0.5,0.51,6.257999999999999,0.14
0.99,SVM_LSA_100,0.4997474747474748,0.4973611460165872,0.49,0.5,0.28600000000000003,0.7
